symbol,name,market,exchange,frequency,trade_time,open,high,low,close,volume,amount,adj_factor,source
600519.SH,贵州茅台,a_share,SH,1d,2024-01-02,1685.00,1698.80,1668.10,1682.50,3021450,5082100000,1.0,sample
600519.SH,贵州茅台,a_share,SH,1d,2024-01-03,1682.50,1705.20,1679.00,1699.40,2854300,4847600000,1.0,sample
600519.SH,贵州茅台,a_share,SH,1d,2024-01-04,1699.40,1702.00,1660.30,1668.80,3312200,5539000000,1.0,sample
600519.SH,贵州茅台,a_share,SH,1d,2024-01-05,1668.80,1684.90,1655.00,1679.20,2987600,4998700000,1.0,sample
600519.SH,贵州茅台,a_share,SH,1d,2024-01-08,1679.20,1690.00,1648.20,1659.70,3478900,5803100000,1.0,sample
000001.SZ,平安银行,a_share,SZ,1d,2024-01-02,9.28,9.42,9.21,9.35,82145300,766340000,1.0,sample
000001.SZ,平安银行,a_share,SZ,1d,2024-01-03,9.35,9.39,9.19,9.22,75432100,699120000,1.0,sample
000001.SZ,平安银行,a_share,SZ,1d,2024-01-04,9.22,9.31,9.12,9.18,69321900,638450000,1.0,sample
000001.SZ,平安银行,a_share,SZ,1d,2024-01-05,9.18,9.27,9.10,9.24,71245800,654710000,1.0,sample
000001.SZ,平安银行,a_share,SZ,1d,2024-01-08,9.24,9.34,9.17,9.30,73511200,681920000,1.0,sample
300750.SZ,宁德时代,a_share,SZ,1d,2024-01-02,163.20,166.80,161.10,165.30,21453200,3529300000,1.0,sample
300750.SZ,宁德时代,a_share,SZ,1d,2024-01-03,165.30,168.40,164.00,167.90,19876500,3312400000,1.0,sample
300750.SZ,宁德时代,a_share,SZ,1d,2024-01-04,167.90,169.20,162.50,163.70,22678100,3746500000,1.0,sample
300750.SZ,宁德时代,a_share,SZ,1d,2024-01-05,163.70,166.10,160.90,164.80,20543100,3378900000,1.0,sample
300750.SZ,宁德时代,a_share,SZ,1d,2024-01-08,164.80,165.60,158.20,159.40,24100200,3887600000,1.0,sample
